NAME,COUNTYFP,GRID_ID,YEAR,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,AGEUNDER13_TOT,AGE1424_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT,COUNTY_AREA,POPDENSITY,POPDENSITY_MALE,POPDENSITY_FEM,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared,Unemployment,medianHHI2018
Humboldt,23,3,1991,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,41,13,9,63,11,0.106,49471
Humboldt,23,3,1992,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,42,15,16,73,21,0.106,49471
Humboldt,23,3,1993,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,29,15,21,65,17,0.106,49471
Humboldt,23,3,1994,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,26,10,6,42,2,0.106,49471
Humboldt,23,3,1995,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,31,13,16,60,8,0.106,49471
Humboldt,23,3,1996,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,27,9,13,49,12,0.106,49471
Humboldt,23,3,1997,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,30,17,8,55,13,0.106,49471
Humboldt,23,3,1998,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,34,12,9,55,6,0.106,49471
Humboldt,23,3,1999,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,30,16,15,61,17,0.106,49471
Humboldt,23,3,2000,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,28,13,18,59,5,0.106,49471
Humboldt,23,3,2001,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,37,16,25,78,16,0.106,49471
Humboldt,23,3,2002,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,38,24,12,74,11,0.106,49471
Humboldt,23,3,2003,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,36,19,17,72,11,0.106,49471
Humboldt,23,3,2004,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,26,12,15,53,20,0.106,49471
Humboldt,23,3,2005,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,16,14,7,37,5,0.106,49471
Humboldt,23,3,2006,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,11,15,9,35,8,0.106,49471
Humboldt,23,3,2007,37.1,35.9,38.6,1.1422676738013493,1.2486510594335856,1.9177998202689481,2.0851143583918326,0.9694835528696092,18282930068.834213,7.363316464765324,3.6971644996457673,3.6661519651195578,12,11,7,30,7,0.106,49471
Mendocino,45,8,2008,41.5,40.0,43.3,0.8849536187382385,0.6857337805677578,1.2438340119414475,1.5950042000353495,0.8002599810760038,16860770648.380726,5.209785592358797,2.6085996255588735,2.6011859667999238,12,7,5,24,6,0.114,51386
Mendocino,45,8,2009,41.5,40.0,43.3,0.8849536187382385,0.6857337805677578,1.2438340119414475,1.595063509305421,0.8007344552365766,16860770648.380726,5.2103193757894415,2.60883686263916,2.6014825131502817,10,6,6,22,6,0.114,51386
Mendocino,45,8,2010,41.6,40.1,43.3,0.8860211855995273,0.6811669667722452,1.242173352379443,1.592157355071913,0.805775743192662,16860770648.380726,5.20729460301579,2.6058713991355797,2.6014232038802105,14,4,7,25,11,0.114,51386
Mendocino,45,8,2011,41.9,40.5,43.5,0.8807426605631554,0.6695423498382129,1.226278468000256,1.5684929563133474,0.8346593577175278,16860770648.380726,5.1797157924325,2.584935226800307,2.5947805656321923,12,3,4,19,10,0.114,51386
Mendocino,45,8,2012,42.2,40.7,43.8,0.8813357532638714,0.660349412977116,1.2178565516500899,1.5256123540515858,0.8918334940665433,16860770648.380726,5.176987566009206,2.5812580520558686,2.5957295139533376,29,6,3,38,7,0.1,51386
Mendocino,45,8,2013,42.5,40.9,44.0,0.8739220945049223,0.6554267435611738,1.2102056558108545,1.4863496172641912,0.937205085671312,16860770648.380726,5.163109196812453,2.570107909282409,2.593001287530044,21,8,4,33,8,0.084,51386
Mendocino,45,8,2014,42.6,41.0,44.1,0.8768875580085018,0.6569687845830352,1.203147852672335,1.4539074465350297,0.9823394401957942,16860770648.380726,5.173251081994696,2.5732513005962034,2.599999781398492,11,7,8,26,8,0.07,51386
