ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT08,WT11,WT16,WT18
USC00045598,1942,11,7,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,11,8,,,,,13.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,11,9,,,,,5.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,12,1,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,10,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,11,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,12,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,13,,,,,8.0,,,,,,,,,,,,
USC00045598,1942,12,14,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,15,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,16,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,17,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,18,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,19,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,2,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,20,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,21,,,,,74.0,,,,,,,,,,,,
USC00045598,1942,12,22,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,23,,,,,691.0,,,,,,,,,,,,
USC00045598,1942,12,24,,,,,323.0,,,,,,,,,,,,
USC00045598,1942,12,25,,,,,135.0,,,,,,,,,,,,
USC00045598,1942,12,26,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,27,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,28,,,,,102.0,,,,,,,,,,,,
USC00045598,1942,12,29,,,,,94.0,,,,,,,,,,,,
USC00045598,1942,12,3,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,30,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,31,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,4,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,5,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,12,6,,,,,43.0,,,,,,,,,,,,
USC00045598,1942,12,7,,,,,198.0,,,,,,,,,,,,
USC00045598,1942,12,8,,,,,15.0,,,,,,,,,,,,
USC00045598,1942,12,9,,,,,5.0,,,,,,,,,,,,
USC00045598,1943,1,1,,,,,3.0,,,,,,1.0,,,,,-9999.0,
USC00045598,1943,1,10,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,11,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,12,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,13,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,14,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
